date,category,date,value,label
2018-01-14,General Request - PUBLIC WORKS,2018-01-14,12,0
2018-01-14,General Request - PUC,2018-01-14,9,0
2018-01-14,Graffiti,2018-01-14,255,0
2018-01-14,Homeless Concerns,2018-01-14,90,0
2018-01-14,Illegal Postings,2018-01-14,7,0
2018-01-14,Litter Receptacles,2018-01-14,9,0
2018-01-14,MUNI Feedback,2018-01-14,23,0
2018-01-14,Noise Report,2018-01-14,15,0
2018-01-14,Rec and Park Requests,2018-01-14,30,0
2018-01-14,Residential Building Request,2018-01-14,2,0
2018-01-14,SFHA Requests,2018-01-14,8,0
2018-01-14,Sewer Issues,2018-01-14,18,0
2018-01-14,Sidewalk or Curb,2018-01-14,18,0
2018-01-14,Sign Repair,2018-01-14,7,0
2018-01-14,Street Defects,2018-01-14,13,0
2018-01-14,Street and Sidewalk Cleaning,2018-01-14,435,0
